"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000048895.14",-4.86840144922801,1.12051462817292,67.1860146851654,3.74444247882033e-10,9.76090095904247e-10
"ENSMUSG00000069633.13",-2.66486457571832,2.84995405425976,67.8850083015289,3.75560013641289e-10,9.78500549405771e-10
"ENSMUSG00000078851.5",-2.74319880321981,2.73020650734798,67.6049234182099,3.96002363655112e-10,1.03018953735221e-09
"ENSMUSG00000021140.10",-2.33138711012752,3.52838529960814,67.5648855491986,3.98543695423835e-10,1.03653746280623e-09
"ENSMUSG00000026384.14",-2.68590517981717,2.91361453639063,67.4774323540811,4.05459603529437e-10,1.05425672996915e-09
"ENSMUSG00000021990.17",-0.796490190552866,7.15852028158247,67.4542865457819,4.06764123190231e-10,1.05738024104425e-09
"ENSMUSG00000014426.10",-1.40950947622204,5.29423803305875,67.3615564048167,4.13972381005699e-10,1.07584499524496e-09
"ENSMUSG00000022584.15",-1.09307128131794,6.29459053876262,67.2580509284163,4.22128978744243e-10,1.09676433290171e-09
"ENSMUSG00000094870.9",-1.42634151188299,5.34913078144548,67.0866524833052,4.36062988143171e-10,1.13124547228023e-09
"ENSMUSG00000042851.18",-2.74752735273678,2.8312485793325,67.0848287863294,4.36764810293758e-10,1.13249245241232e-09
"ENSMUSG00000025616.15",-0.990312512148113,6.36160645114484,67.0149269011627,4.42009316342157e-10,1.14522120363682e-09
"ENSMUSG00000024174.10",-2.82873213513249,2.57792868505902,66.9211076113827,4.50879621720246e-10,1.16731776685004e-09
"ENSMUSG00000043733.15",-1.64838855734684,4.50882243951953,66.7823817039011,4.62009106672104e-10,1.19432036106403e-09
"ENSMUSG00000025104.14",-2.38805670954389,3.62248692241017,66.7567988716133,4.64362459995223e-10,1.19979826318645e-09
"ENSMUSG00000039100.11",-1.90031337633567,4.25976064619937,66.5117484312013,4.8642592753306e-10,1.25522155449574e-09
"ENSMUSG00000067924.5",-2.94966625246834,2.48986157104994,66.5102633355002,4.87696832337688e-10,1.25818412010141e-09
"ENSMUSG00000097119.3",-3.14032514762442,2.3789710623363,66.453377871911,4.9345527207041e-10,1.27271944007684e-09
"ENSMUSG00000020659.18",-1.6356842223328,4.59061768959831,66.4343670029322,4.9362260226715e-10,1.27283048651061e-09
"ENSMUSG00000026004.16",-2.35235742366244,3.27897942575869,66.4186391459713,4.95370550868135e-10,1.27701615454101e-09
"ENSMUSG00000029179.15",-1.55163707488255,4.7351096436824,66.3786580474259,4.98884568191805e-10,1.28542786098628e-09
"ENSMUSG00000032178.15",-1.03808364912389,6.11876889246508,66.2851921412256,5.07810585496115e-10,1.30776867403852e-09
"ENSMUSG00000090394.9",-0.819322063021264,6.95844398793061,66.2488495969808,5.11337714838072e-10,1.31619021748468e-09
"ENSMUSG00000025153.10",-1.21841285037042,5.60477313257731,66.2450845808208,5.11729800829155e-10,1.31686849751061e-09
"ENSMUSG00000053774.10",-1.83933183186285,4.43030514897096,66.2400572438494,5.12269404128003e-10,1.3179259575682e-09
