"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000019883.12",7.31979005286174,2.52143884709727,17.9413976977014,0.000139418024635008,0.000217969685286483
"ENSMUSG00000021893.15",0.709345007756477,6.22594660225635,17.7409258058712,0.000139623480259018,0.000218256184665929
"ENSMUSG00000029413.15",1.89430833638869,3.94442546148292,17.7159524506885,0.000140445081322562,0.000219474904318841
"ENSMUSG00000043192.5",7.44165121292486,2.62855373955284,17.9195955823631,0.00014050393413268,0.000219533378091061
"ENSMUSG00000020652.18",1.49855196862047,4.3706295070928,17.7221419109318,0.000140920199819406,0.000220148708003762
"ENSMUSG00000067873.12",0.548666443944478,6.78486305504549,17.6994198946413,0.000141744079076049,0.000221369755702484
"ENSMUSG00000046380.4",3.12984815568171,3.07882319419706,17.4044574369676,0.000141984206843601,0.000221710969125196
"ENSMUSG00000117257.2",7.45338683801462,2.63894646806394,17.8651942725813,0.000143255757420929,0.000223594249848393
"ENSMUSG00000081111.4",7.42831759485458,2.62129802240275,17.8355983401741,0.000144777033516753,0.000225899813723123
"ENSMUSG00000018916.6",7.30711377251175,2.51040510612725,17.7937014592218,0.000146960800976146,0.000229272280822191
"ENSMUSG00000006392.17",0.645850265573081,6.43421808256535,17.5716520222968,0.000148497603530297,0.000231634550008727
"ENSMUSG00000032175.12",0.534509294866694,6.92516779302676,17.5660971186209,0.000148797216825313,0.000232066559269813
"ENSMUSG00000037904.15",2.61254091976166,3.81470425847059,17.4749964424186,0.000149219362632126,0.000232689511583166
"ENSMUSG00000031711.8",0.782786157329301,5.85259416592607,17.5560128800279,0.00014935331521322,0.000232827496866636
"ENSMUSG00000038736.11",1.54228119163395,4.40793340693332,17.5617340540912,0.00014939280313574,0.000232853612801134
"ENSMUSG00000079562.8",0.621407497238685,6.78229878585656,17.5531853932222,0.000149500079507854,0.000232985364321279
"ENSMUSG00000027207.16",0.953671187008607,5.45905141245092,17.5473796500884,0.000149839094723174,0.000233478169504754
"ENSMUSG00000060181.7",7.31538860134795,2.51559324970494,17.720809008149,0.000150841030681666,0.000235003625835355
"ENSMUSG00000023110.13",0.50340938116896,7.00124323878889,17.494424054266,0.00015274099462493,0.00023785514169812
"ENSMUSG00000021996.17",0.663426415028558,6.31867802023347,17.4871497003011,0.000153149764337094,0.000238455440307163
"ENSMUSG00000036009.17",2.57456286405148,3.47776146132476,17.3397603999341,0.000154111104638579,0.000239915782597405
"ENSMUSG00000037419.10",0.877030768099922,5.57594149360359,17.4600768033679,0.000154686280092072,0.000240738015605987
"ENSMUSG00000005656.10",0.486385587405192,7.43923812043201,17.4539631206142,0.000155015123304116,0.000241213140820535
"ENSMUSG00000039178.10",7.36714900101965,2.56173744182387,17.6417754891337,0.000155170408336745,0.000241418095425329
"ENSMUSG00000032093.8",0.271459893729224,9.47267685222694,17.4454191287594,0.000155499598411866,0.000241854347187672
"ENSMUSG00000007659.19",0.746816600587644,5.98398728282266,17.445158859598,0.000155521649148409,0.000241854347187672
"ENSMUSG00000017718.16",2.03943592696111,3.73902337054779,17.3896260367568,0.00015690841856651,0.000243936858372525
"ENSMUSG00000021962.10",1.21376702434538,4.83532111503669,17.4216116916575,0.000156996480856907,0.000244036721344126
"ENSMUSG00000038683.17",0.50925409493979,6.92572222548793,17.4025177073332,0.000157960384818476,0.000245497763476605
"ENSMUSG00000022538.21",0.569972844807639,6.56515495405607,17.3924700595526,0.000158543185560762,0.000246328778293891
"ENSMUSG00000038712.17",1.45672973479261,4.57110626488403,17.3659830053182,0.000160403709465784,0.000249181676376241
"ENSMUSG00000028330.9",0.615357133927065,6.46362113486803,17.3145636134251,0.000163133000813757,0.000253344684508643
"ENSMUSG00000052031.9",1.30130071806205,4.69151949233056,17.303802606981,0.00016399358049711,0.000254642548734294
"ENSMUSG00000048707.10",1.3668241582362,4.48840993859008,17.281009706396,0.000165475594729786,0.000256898021952824
"ENSMUSG00000028709.4",0.982697869593084,5.33774635479331,17.275843121078,0.000165496304319931,0.000256898021952824
"ENSMUSG00000017697.4",1.66332303732741,4.23263801768069,17.2785464593963,0.000165628982540494,0.000257065015787202
"ENSMUSG00000023249.16",0.662283879493718,6.31678977053638,17.2539675336384,0.000166800321528565,0.000258765357936317
"ENSMUSG00000091478.3",7.45365546048586,2.64441800385903,17.4134714934423,0.000168431315829468,0.000261256025552842
"ENSMUSG00000030051.11",2.83108866958834,3.33707465248861,17.0282069833747,0.000168546546286277,0.000261395173692315
"ENSMUSG00000053094.16",0.56689328816079,6.76799433273441,17.2063293244928,0.000169741639528439,0.000263168917960986
"ENSMUSG00000038930.12",1.28671878085363,4.85215649748018,17.1464960107039,0.000173679131487562,0.000269151409395613
"ENSMUSG00000033940.9",0.430453884345546,7.35597694902836,17.1162156514266,0.000175458647418681,0.000271826874430817
"ENSMUSG00000029149.15",1.30652966616529,4.69552243124577,17.1073841166549,0.00017626043489976,0.000273027733551624
"ENSMUSG00000008140.19",0.45374472855718,7.2973803342281,17.0976358092936,0.00017666285011034,0.000273609694666582
"ENSMUSG00000048930.13",0.776439809374708,5.79141134444533,17.07064712718,0.000178438641207962,0.000276276426795458
"ENSMUSG00000028772.20",0.542338147686662,6.79802998399997,17.0609843233309,0.000179065076422063,0.00027720443057962
"ENSMUSG00000020910.17",0.923724976134732,5.43270111148427,17.0439342966488,0.000180219229455427,0.000278864684708035
"ENSMUSG00000083327.2",2.37674636507696,3.59753633912116,16.9608245753698,0.00018047292582602,0.000279215061376147
"ENSMUSG00000026617.17",2.4623608617446,3.37399717284219,16.9063428071047,0.000181079082668989,0.000280110551985468
"ENSMUSG00000024220.15",0.840042607011656,5.6768986732598,17.014971714061,0.000182142047309529,0.000281669764237384
"ENSMUSG00000039187.17",4.12976422272056,3.11663092726182,16.8489142961754,0.000182314040086159,0.000281850626198104
"ENSMUSG00000028920.10",1.29059834867452,4.797951986041,17.0140717517671,0.000182377350556733,0.000281905949955035
"ENSMUSG00000120166.1",1.30203819552695,4.56865789536578,16.949067504985,0.00018690718424957,0.000288777097764986
"ENSMUSG00000043572.8",1.4242333084941,4.46508854993277,16.9436695413624,0.000187369139675207,0.000289447168710931
"ENSMUSG00000021368.16",2.41961267310489,3.63266408955968,16.8419234687046,0.000188637549984538,0.000291362658262952
"ENSMUSG00000020280.13",1.43991402520755,4.39873050323563,16.9235498176921,0.000188790998969384,0.000291555701363756
"ENSMUSG00000047617.12",0.89786348667463,5.56423650578381,16.9049235436613,0.000189699633479363,0.000292870612917642
"ENSMUSG00000000131.16",0.567635057795946,6.86430533992517,16.8830250640856,0.000191221735672145,0.000295087090063901
"ENSMUSG00000024357.11",0.871562183033735,5.63546566552392,16.8642795494806,0.000192568716455276,0.000297076185259066
"ENSMUSG00000025971.7",1.58414003726838,4.2644987177997,16.8484851089035,0.000194102648940161,0.000299397489524869
"ENSMUSG00000050088.10",1.40636977159868,4.79011856416458,16.8447676373269,0.000194193969934264,0.000299493245003272
"ENSMUSG00000029047.14",1.87883593172038,3.92815165150749,16.7840940754783,0.00019776991548055,0.000304916374281467
"ENSMUSG00000035517.18",1.62622184320237,4.20418574057692,16.7924445610497,0.000198117345369368,0.000305406058289144
"ENSMUSG00000033885.16",0.685735774644189,6.10523904131835,16.7816381388966,0.000198538834533875,0.000306009743159662
"ENSMUSG00000028708.17",0.824749233390723,5.59735860706661,16.7752451826966,0.000199022224825562,0.000306708640785947
"ENSMUSG00000101795.3",7.24740452460237,2.45497691595648,16.9490617239825,0.000199250838441129,0.000307014756629163
"ENSMUSG00000033186.10",1.27441729939494,4.60592435311598,16.7503101982976,0.000201134950786833,0.000309778070068985
"ENSMUSG00000028568.17",2.62029827511872,3.51963975967672,16.5828364789101,0.000204422778220395,0.000314747157927434
"ENSMUSG00000062861.9",2.84551775437357,3.34724067159638,16.5132768952625,0.000204652541562196,0.000315053559398769
